Accesion_ID	Genotipo	Raza	Cultivar	Anio_colecta	Subespecie	Locality	State	Accesion_Germplasm_Bank_ID	Longitude	Latitude	Altitude_masl	N
BoTp2003	BoTp200301	Bo	Tp	2003	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5
BoTp2003	BoTp200302	Bo	Tp	2003	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5
BoTp2003	BoTp200303	Bo	Tp	2003	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5
BoTp2003	BoTp200304	Bo	Tp	2003	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5
BoTp2003	BoTp200305	Bo	Tp	2003	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5
BoTp2015	BoTp201502	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp201503	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp201504	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp201505	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp201506	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp201507	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
BoTp2015	BoTp20151b	Bo	Tp	2015	Zea mays ssp. parviglumis	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7
ChTm1984	ChTm198401	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198402	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198403	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198404	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198405	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198406	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm1984	ChTm198407	Ch	Tm	1984	Zea mays ssp. mexicana	Amecameca	Estado de México	Zea mays ssp. mexicana (INIFAP 10046)	-98.76666667	19.13333333	2390	7
ChTm2003	ChTm200301	Ch	Tm	2003	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana (CUCBA JSG-RMM-LCL-477)	-98.72694444	19.08277778	2705	5
ChTm2003	ChTm200302	Ch	Tm	2003	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana (CUCBA JSG-RMM-LCL-477)	-98.72694444	19.08277778	2705	5
ChTm2003	ChTm200303	Ch	Tm	2003	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana (CUCBA JSG-RMM-LCL-477)	-98.72694444	19.08277778	2705	5
ChTm2003	ChTm200304	Ch	Tm	2003	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana (CUCBA JSG-RMM-LCL-477)	-98.72694444	19.08277778	2705	5
ChTm2003	ChTm200305	Ch	Tm	2003	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana (CUCBA JSG-RMM-LCL-477)	-98.72694444	19.08277778	2705	5
ChTm2014	ChTm201401	Ch	Tm	2014	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana	-98.824167	19.0814833	2522	4
ChTm2014	ChTm201402	Ch	Tm	2014	Zea mays ssp. mexicana	San Pedro Nexapa	Estado de México	Zea mays ssp. mexicana	-98.824167	19.0814833	2522	4
