bam_file_list	VCF_ID	groups	altitud	species	Status	Longitude	Latitude
./bam/10026_1:C7U03ANXX:7:250516166.sort.bam	ZmTm198304_ZmTm1983	Zmx1980	1800	Zea mays ssp. mexicana	CWR	-102.0833333	20.15
./bam/10026_2:C7U03ANXX:7:250516174.sort.bam	ZmTm198302_ZmTm1983	Zmx1980	1800	Zea mays ssp. mexicana	CWR	-102.0833333	20.15
./bam/10026_3:C7U03ANXX:7:250516182.sort.bam	ZmTm198303_ZmTm1983	Zmx1980	1800	Zea mays ssp. mexicana	CWR	-102.0833333	20.15
./bam/10036_1:C7U03ANXX:7:250516183.sort.bam	TbTp198304_TbTp1983	Zpr1980	980	Zea mays ssp. mexicana	CWR	-104.0666667	19.95
./bam/10046_1:C7U03ANXX:7:250516127.sort.bam	ChTm198404_ChTm1984	Zmx1980	2390	Zea mays ssp. mexicana	CWR	-98.76666667	19.13333333
./bam/10046_2:C7U03ANXX:7:250516135.sort.bam	ChTm198405_ChTm1984	Zmx1980	2390	Zea mays ssp. mexicana	CWR	-98.76666667	19.13333333
./bam/10046_3:C7U03ANXX:7:250516143.sort.bam	ChTm198406_ChTm1984	Zmx1980	2390	Zea mays ssp. mexicana	CWR	-98.76666667	19.13333333
./bam/10046_4:C7U03ANXX:7:250516151.sort.bam	ChTm198407_ChTm1984	Zmx1980	2390	Zea mays ssp. mexicana	CWR	-98.76666667	19.13333333
./bam/10062_1:C7U03ANXX:7:250516170.sort.bam	PpTp1984a1_PpTp1984a	Zpr1980	1465	Zea mays ssp. parviglumis	CWR	-99.9	18.4
./bam/196_10:C872HANXX:7:250583018.sort.bam	JaZd198001_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_11:C872HANXX:7:250583026.sort.bam	JaZd198002_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_13:C872HANXX:7:250583034.sort.bam	JaZd198003_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_14:C872HANXX:7:250583042.sort.bam	JaZd198004_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_15:C872HANXX:7:250583050.sort.bam	JaZd198005_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_8:C872HANXX:7:250583002.sort.bam	JaZd198006_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/196_9:C872HANXX:7:250583010.sort.bam	JaZd198007_JaZd1980	Zd	NA	Zea diploperennis	CWR		
./bam/197_26:C872HANXX:7:250583076.sort.bam	JaZdJSG01_JaZdJSG	Zd	NA	Zea diploperennis	CWR		
./bam/197_27:C872HANXX:7:250583084.sort.bam	JaZdJSG02_JaZdJSG	Zd	NA	Zea diploperennis	CWR		
./bam/197_28:C872HANXX:7:250583092.sort.bam	JaZdJSG03_JaZdJSG	Zd	NA	Zea diploperennis	CWR		
./bam/197_29:C872HANXX:7:250583005.sort.bam	JaZdJSG04_JaZdJSG	Zd	NA	Zea diploperennis	CWR		
./bam/197_30:C872HANXX:7:250583013.sort.bam	JaZdJSG05_JaZdJSG	Zd	NA	Zea diploperennis	CWR		
