INDIVIDUALS	STRATA
EP1A-C07	CapricornBunkers
EP1A-H08	CapricornBunkers
EP1A-B08	CapricornBunkers
EP1A-D08	CapricornBunkers
EP1A-F07	CapricornBunkers
EP1A-H07	CapricornBunkers
EP1A-A08	CapricornBunkers
EP1A-G08	CapricornBunkers
EP1A-E07	CapricornBunkers
EP1A-G07	CapricornBunkers
EP1A-D07	CapricornBunkers
Plec67-G06	Ribbons
Plec66-H07	Ribbons
Plec67-B07	EscapeReef
Plec67-B09	EscapeReef
Plec67-C01	EscapeReef
Plec67-G11	Ribbons
Plec67-H03	Ribbons
Plec67-B08	EscapeReef
Plec67-B10	EscapeReef
Plec67-G07	Ribbons
Plec67-B06	EscapeReef
Plec71-A02	Ribbons
Plec67-B12	EscapeReef
Plec67-B05	EscapeReef
Plec67-B11	EscapeReef
Plec67-H02	Ribbons
Plec67-B04	Ribbons
Plec67-H01	Ribbons
Plec67-H04	Ribbons
Plec67-H06	Ribbons
Plec67-H09	Ribbons
Plec67-H05	Ribbons
Plec76-H02	Flinders
EP2-4A-E07	Flinders
Plec76-B01	Flinders
Plec76-B09	Flinders
Plec76-C04	Flinders
Plec76-B03	Flinders
Plec76-C09	Flinders
Plec76-B04	Flinders
EP2-4A-F07	Flinders
Plec76-A01	Flinders
Plec76-F02	Flinders
Plec76-F01	Flinders
Plec76-A09	Flinders
Plec76-G06	Flinders
Plec76-C06	Flinders
Plec76-D06	Flinders
Plec76-C01	Flinders
Plec76-E02	Flinders
EP2-4A-D07	Flinders
Plec76-A03	Flinders
Plec72-A09	LihouEast
Plec73-E01	LihouEast
Plec73-E02	LihouEast
Plec73-E03	LihouEast
Plec72-A08	LihouEast
Plec68-D05	LihouEast
Plec72-A12	LihouEast
Plec72-B10	LihouEast
Plec72-A10	LihouEast
Plec72-A11	LihouEast
Plec72-B02	LihouEast
Plec72-B05	LihouEast
Plec72-C04	LihouEast
Plec72-C06	LihouEast
Plec73-D07	LihouEast
Plec73-D09	LihouEast
Plec73-D12	LihouEast
Plec72-B01	LihouEast
Plec72-B12	LihouEast
Plec72-C05	LihouEast
Plec72-C01	LihouEast
Plec72-D01	LihouEast
Plec72-D02	LihouEast
Plec67-A07	LihouEast
Plec72-B11	LihouEast
Plec72-C03	LihouEast
Plec72-C02	LihouEast
Plec72-B09	LihouEast
Plec67-A04	LihouEast
Plec73-D11	LihouEast
Plec72-C09	LihouEast
EP2-4A-E08	LihouEast
Plec67-A06	LihouEast
Plec72-A06	LihouEast
Plec72-E07	LihouWest
Plec72-D05	LihouWest
Plec72-E08	LihouWest
Plec72-E09	LihouWest
Plec72-E10	LihouWest
Plec72-F04	LihouWest
Plec73-C11	LihouWest
Plec63-E06	LihouWest
Plec72-F01	LihouWest
Plec73-C12	LihouWest
Plec73-D02	LihouWest
Plec72-D03	LihouWest
Plec67-A09	LihouWest
Plec67-A11	LihouWest
Plec67-B02	LihouWest
Plec72-D08	LihouWest
Plec72-E04	LihouWest
Plec72-F02	LihouWest
Plec72-E05	LihouWest
Plec73-D04	LihouWest
Plec72-E06	LihouWest
Plec73-D03	LihouWest
Plec72-E12	LihouWest
Plec67-A10	LihouWest
Plec72-E03	LihouWest
Plec72-E11	LihouWest
Plec72-D07	LihouWest
Plec72-D10	LihouWest
Plec72-E01	LihouWest
Plec73-C01	Marion
Plec73-C03	Marion
Plec73-C05	Marion
Plec73-C06	Marion
Plec73-G05	Marion
Plec73-C02	Marion
Plec73-C04	Marion
Plec73-C07	Marion
Plec73-B10	Marion
Plec73-B12	Marion
Plec73-B11	Marion
Plec73-C09	Marion
Plec73-B09	Marion
Plec73-C10	Marion
EP2-4A-D04	PrincessCharlotteBay
EP2-4A-E01	PrincessCharlotteBay
EP2-4A-A01	PrincessCharlotteBay
EP2-4A-B01	PrincessCharlotteBay
EP2-4A-B03	PrincessCharlotteBay
EP2-4A-D02	PrincessCharlotteBay
EP2-4A-D03	PrincessCharlotteBay
EP2-4A-E04	PrincessCharlotteBay
EP2-4A-F02	PrincessCharlotteBay
EP2-4A-F03	PrincessCharlotteBay
EP2-4A-G01	PrincessCharlotteBay
EP2-4A-H03	PrincessCharlotteBay
EP2-4A-H02	PrincessCharlotteBay
EP2-4A-F01	PrincessCharlotteBay
EP2-4A-A02	PrincessCharlotteBay
EP2-4A-B02	PrincessCharlotteBay
EP2-4A-C02	PrincessCharlotteBay
EP2-4A-E03	PrincessCharlotteBay
EP2-4A-G02	PrincessCharlotteBay
EP2-4A-G03	PrincessCharlotteBay
EP2-4A-H01	PrincessCharlotteBay
EP2-4A-E02	PrincessCharlotteBay
EP2-4A-D01	PrincessCharlotteBay
EP2-4A-C01	PrincessCharlotteBay
EP2-4A-A03	PrincessCharlotteBay
EP2-4A-B04	PrincessCharlotteBay
EP2-4A-C04	PrincessCharlotteBay
EP2-4A-C03	PrincessCharlotteBay
EP2-4A-A04	PrincessCharlotteBay
EP2-4A-B05	Swains
EP2-4A-C05	Swains
EP2-4A-E05	Swains
EP2-4A-F06	Swains
EP2-4A-G05	Swains
